dataset,model,model_size,retriever,n,jsonl_table,closed_book_acc,open_book_acc_k5,gate_auroc,frontier_auc_raw,frontier_auc_random,frontier_auc_oracle,norm_value,noise_flip_rate,gate_auc_ci_low,gate_auc_ci_high,norm_value_ci_low,norm_value_ci_high
TriviaQA-rc,Qwen3-1.7B,1.7B,bge-large,200,triviaqa_rc_qwen1p7b_table.jsonl,0.29,0.735,0.6585,0.5417,0.5125,0.6678,0.1877,0.2241,0.4875,0.5957,0.0363,0.3656
TriviaQA-rc,Qwen3-8B,8B,bge-large,200,triviaqa_rc_table.jsonl,0.595,0.8,0.739,0.7531,0.6975,0.8681,0.3259,0.2269,0.7146,0.8035,0.1709,0.4496
TriviaQA-rc,Qwen3-8B,8B,bge-small,200,triviaqa_rc_bgesmall_table.jsonl,0.525,0.75,0.7474,0.6901,0.6375,0.8085,0.3073,0.2476,0.6395,0.7471,0.1565,0.4394
TriviaQA-rc,Qwen3-32B,32B,bge-large,200,triviaqa_rc_32b_n600_table.jsonl,0.635,0.81,0.7696,0.7834,0.7225,0.8822,0.3813,0.1969,0.7321,0.8289,0.25,0.5088
TriviaQA-rc,Qwen3.5-9B,9B,bge-large,200,triviaqa_rc_qwen35_9b_table.jsonl,0.61,0.785,0.8109,0.7756,0.6975,0.8683,0.4575,0.2377,0.7347,0.8163,0.3402,0.561
TriviaQA-rc,Llama-3.1-8B,8B,bge-large,200,triviaqa_rc_llama_table.jsonl,0.535,0.735,0.76,0.7037,0.635,0.8125,0.3869,0.2804,0.6485,0.7506,0.2605,0.5138
NQ-DPR,Qwen3-8B,8B,DPR,200,nq_dpr_table.jsonl,0.2,0.715,0.6289,0.4764,0.4575,0.5917,0.1409,0.1,0.4295,0.5387,-0.0165,0.3142
NQ-DPR,Qwen3-32B,32B,DPR,200,nq_dpr_32b_table.jsonl,0.37,0.77,0.679,0.6045,0.57,0.7294,0.2163,0.2027,0.5574,0.6623,0.0798,0.3531
MS-MARCO,Qwen3-8B,8B,passage-pool,200,msmarco_table.jsonl,0.125,0.31,0.5909,0.228,0.2175,0.3549,0.0763,0.68,0.1825,0.2797,-0.0892,0.217
PopQA,Qwen3-8B,8B,n/a (probe),200,popqa_table.jsonl,0.325,0.65,0.6244,0.533,0.4875,0.6659,0.2551,0.3846,0.4815,0.5813,0.1054,0.4117
HotpotQA,Qwen3-8B,8B,passage-pool,200,hotpotqa_table.jsonl,0.16,0.41,0.5924,0.288,0.285,0.441,0.0189,0.5938,0.2345,0.3344,-0.1199,0.1424
TriviaQA-rc,Qwen3-8B,8B,shared-corpus,200,triviaqa_rc_shared_table.jsonl,0.59,0.775,0.7066,0.738,0.6825,0.8497,0.3322,0.2288,0.6932,0.7812,0.1917,0.4787
NQ-DPR,Qwen3-8B,8B,shared-corpus,200,nq_dpr_shared_table.jsonl,0.255,0.675,0.6186,0.479,0.465,0.618,0.0915,0.2353,0.4241,0.5272,-0.0728,0.2174
MS-MARCO,Qwen3-8B,8B,shared-corpus,200,msmarco_shared_table.jsonl,0.095,0.29,0.6906,0.2069,0.1925,0.3224,0.1111,0.7368,0.1655,0.2501,-0.0623,0.2479
TriviaQA-rc,Qwen3-8B,8B,bge-large (n=2000),600,triviaqa_rc_2k_table.jsonl,0.5533,0.8183,0.7401,0.7363,0.6858,0.8385,0.3306,0.1536,0.7106,0.7684,0.2521,0.4177
NQ-DPR,Qwen3-8B,8B,DPR (n=2000),600,nq_dpr_2k_table.jsonl,0.255,0.69,0.6454,0.4881,0.4725,0.6314,0.0983,0.2876,0.4599,0.5175,0.0139,0.1851
MS-MARCO,Qwen3-8B,8B,passage-pool (n=2000),600,msmarco_2k_table.jsonl,0.1183,0.3167,0.6185,0.2235,0.2175,0.3515,0.0446,0.6338,0.1997,0.2453,-0.0444,0.1311
